Iteration,E_total,E_kinetic,E_potential,Temperature,Pressure,
0        ,-4612.477805,1499.842000,-6112.319805 ,1.000896   ,3.644745,
1        ,-4612.476414,1504.214601,-6116.691014 ,1.003814   ,3.646945,
2        ,-4612.474226,1511.707558,-6124.181784 ,1.008814   ,3.650732,
3        ,-4612.471319,1522.356922,-6134.828241 ,1.015921   ,3.656093,
4        ,-4612.467817,1536.211253,-6148.679070 ,1.025166   ,3.663008,
5        ,-4612.463915,1553.330148,-6165.794063 ,1.036590   ,3.671442,
6        ,-4612.459918,1573.781874,-6186.241792 ,1.050238   ,3.681343,
7        ,-4612.456297,1597.639622,-6210.095919 ,1.066159   ,3.692633,
8        ,-4612.453776,1624.975642,-6237.429417 ,1.084401   ,3.705192,
9        ,-4612.453468,1655.852092,-6268.305561 ,1.105006   ,3.718846,
10       ,-4612.457075,1690.306912,-6302.763987 ,1.127999   ,3.733337,
11       ,-4612.467161,1728.332186,-6340.799347 ,1.153375   ,3.748289,
12       ,-4612.487492,1769.841701,-6382.329194 ,1.181076   ,3.763154,
13       ,-4612.523283,1814.624179,-6427.147462 ,1.210960   ,3.777144,
14       ,-4612.580841,1862.281293,-6474.862134 ,1.242764   ,3.789137,
15       ,-4612.665372,1912.160480,-6524.825852 ,1.276050   ,3.797592,
16       ,-4612.775104,1963.320816,-6576.095920 ,1.310191   ,3.800521,
17       ,-4612.892781,2014.616038,-6627.508819 ,1.344422   ,3.795643,
18       ,-4612.988707,2064.980888,-6677.969595 ,1.378032   ,3.780884,
19       ,-4613.056663,2113.805648,-6726.862311 ,1.410614   ,3.755027,
20       ,-4613.140003,2160.941646,-6774.081649 ,1.442070   ,3.717774,
21       ,-4613.261852,2206.172798,-6819.434650 ,1.472254   ,3.668873,
22       ,-4613.382137,2248.933109,-6862.315246 ,1.500790   ,3.607643,
23       ,-4613.484121,2288.669226,-6902.153347 ,1.527307   ,3.533643,
24       ,-4613.587764,2325.051659,-6938.639423 ,1.551586   ,3.447025,
25       ,-4613.681558,2357.835445,-6971.517003 ,1.573464   ,3.348250,
26       ,-4613.740526,2386.973009,-7000.713536 ,1.592908   ,3.238282,
27       ,-4613.769354,2412.869415,-7026.638769 ,1.610190   ,3.119007,
28       ,-4613.781420,2436.347173,-7050.128593 ,1.625857   ,2.993115,
29       ,-4613.780147,2458.465941,-7072.246088 ,1.640618   ,2.863760,
30       ,-4613.777607,2480.399238,-7094.176845 ,1.655255   ,2.734315,
31       ,-4613.799190,2503.222736,-7117.021926 ,1.670486   ,2.607981,
32       ,-4613.855779,2527.591246,-7141.447025 ,1.686748   ,2.487195,
33       ,-4613.924844,2553.620533,-7167.545377 ,1.704118   ,2.373381,
34       ,-4613.974052,2581.174033,-7195.148085 ,1.722505   ,2.267402,
35       ,-4614.002355,2610.258360,-7224.260715 ,1.741914   ,2.170203,
